 Y coordinate : X coordinate : Time 
-9.03,16.73,2.49
-9.2,16.78,2.5
-9.37,16.84,2.51
-9.54,16.89,2.52
-9.71,16.95,2.53
-9.89,17.01,2.54
-10.07,17.07,2.56
-10.25,17.12,2.57
-10.43,17.18,2.58
-10.62,17.24,2.59
-10.8,17.3,2.6
-10.98,17.35,2.61
-11.16,17.41,2.62
-11.35,17.47,2.63
-11.54,17.52,2.64
-11.72,17.58,2.65
-11.91,17.64,2.66
-12.1,17.69,2.67
-12.3,17.75,2.69
-12.49,17.81,2.7
-12.68,17.87,2.71
-12.88,17.92,2.72
-13.08,17.98,2.73
-13.29,18.04,2.74
-13.5,18.1,2.75
-13.7,18.16,2.76
-13.91,18.22,2.78
-14.12,18.28,2.79
-14.33,18.34,2.8
-14.53,18.39,2.81
-14.74,18.45,2.82
-14.96,18.51,2.83
-15.18,18.57,2.84
-15.4,18.63,2.85
-15.62,18.69,2.86
-15.84,18.75,2.88
-16.06,18.81,2.89
-16.28,18.87,2.9
-16.5,18.93,2.91
-16.72,18.98,2.92
-16.96,19.05,2.93
-17.2,19.11,2.94
-17.43,19.17,2.96
-17.67,19.23,2.97
-17.92,19.29,2.98
-18.17,19.36,2.99
-18.4,19.42,3.0
-18.65,19.48,3.02
-18.91,19.55,3.03
-19.16,19.61,3.04
-19.43,19.67,3.05
-19.67,19.73,3.06
-19.91,19.79,3.08
-20.19,19.86,3.09
-20.54,19.94,3.11
-20.95,20.04,3.12
-21.24,20.11,3.14
-21.52,20.18,3.15
-21.77,20.24,3.16
-22.03,20.3,3.17
-22.31,20.36,3.18
-22.59,20.43,3.2
-22.9,20.5,3.21
-23.17,20.56,3.22
-23.45,20.63,3.24
-23.77,20.7,3.25
-24.06,20.76,3.26
-24.37,20.83,3.27
-24.66,20.9,3.29
-24.99,20.97,3.3
-25.34,21.05,3.32
-25.64,21.12,3.33
-25.97,21.19,3.34
-26.28,21.25,3.35
-26.59,21.32,3.37
-26.94,21.4,3.38
-27.26,21.46,3.4
-27.61,21.54,3.41
-27.92,21.61,3.42
-28.24,21.67,3.43
-28.57,21.74,3.45
-28.91,21.81,3.46
-29.24,21.88,3.47
-29.59,21.95,3.49
-29.91,22.02,3.5
-30.28,22.09,3.51
-30.59,22.16,3.53
-30.9,22.22,3.54
-31.24,22.29,3.55
-31.55,22.35,3.56
-31.89,22.42,3.57
-32.2,22.48,3.59
-32.51,22.54,3.6
-32.85,22.61,3.61
-33.15,22.67,3.62
-33.47,22.73,3.63
-33.8,22.79,3.65
-34.12,22.86,3.66
-34.47,22.92,3.67
-34.82,22.99,3.68
-35.16,23.05,3.7
-35.55,23.13,3.71
-35.91,23.2,3.73
-36.34,23.28,3.74
-36.69,23.34,3.75
-37.05,23.41,3.77
-37.45,23.48,3.78
-37.79,23.55,3.79
-38.19,23.62,3.8
-38.56,23.69,3.82
-38.97,23.76,3.83
-39.34,23.83,3.84
-39.68,23.89,3.85
-40.01,23.95,3.87
-40.41,24.02,3.88
-40.81,24.09,3.89
-41.16,24.16,3.91
-41.52,24.22,3.92
-41.87,24.28,3.93
-42.21,24.34,3.94
-42.56,24.4,3.95
-42.92,24.46,3.96
-43.27,24.52,3.98
-43.62,24.59,3.99
-43.97,24.65,4.0
-44.33,24.71,4.01
-44.69,24.77,4.02
-45.06,24.83,4.03
-45.42,24.89,4.05
-45.76,24.95,4.06
-46.09,25.01,4.07
-46.44,25.06,4.08
-46.78,25.12,4.09
-47.12,25.18,4.1
-47.47,25.24,4.11
-47.81,25.29,4.12
-48.16,25.35,4.13
-48.58,25.42,4.15
-49.06,25.5,4.16
-49.51,25.57,4.18
-49.92,25.64,4.19
-50.28,25.7,4.2
-50.63,25.75,4.21
-50.98,25.81,4.22
-51.32,25.86,4.23
-51.67,25.92,4.24
-52.02,25.98,4.25
-52.39,26.03,4.26
-52.74,26.09,4.27
-53.1,26.15,4.28
-53.46,26.2,4.29
-53.83,26.26,4.31
-54.2,26.32,4.32
-54.57,26.38,4.33
-54.92,26.43,4.34
-55.29,26.49,4.35
-55.64,26.54,4.36
-56.0,26.6,4.37
-56.36,26.65,4.38
